task,metric,model,k,prompt,delta,ci_low,ci_high,n_pairs,p_value,p_adj,significant,delta_baseline,interaction
reproduction,ast_edit_distance,gemma-2-9b,5,P4b,-0.011410964390605056,-0.025399705992652833,0.002198029705214117,404,0.1054,0.5385000000000001,False,-0.002817836277731334,-0.008593128112873723
reproduction,dataflow_sim,gemma-2-2b,0,P4b,0.014599590947866852,-0.0028446487409348694,0.03289800561365044,404,0.1077,0.5385000000000001,False,0.01079221454775631,0.0038073764001105414
reproduction,dataflow_sim,gemma-2-2b,0,P5a,0.012310849559570307,-0.0051195783363109,0.030269431141296016,404,0.1673,0.6683333333333334,False,0.01079221454775631,0.0015186350118139968
reproduction,dataflow_sim,gemma-2-2b,0,P1a,0.01079221454775631,-0.0068706020858820115,0.02888205221531765,404,0.2362,0.7085999999999999,False,0.01079221454775631,0.0
reproduction,dataflow_sim,gemma-2-2b,0,P1b,0.0028540343572820773,-0.010279161348191297,0.01686560287676122,404,0.6746,0.9067500000000001,False,0.01079221454775631,-0.007938180190474233
reproduction,dataflow_sim,gemma-2-2b,5,P4b,0.01642982038632584,0.0019067254672956123,0.0317118371146819,404,0.0314,0.44040000000000007,False,0.009829886359621117,0.0065999340267047235
reproduction,dataflow_sim,gemma-2-2b,5,P1b,0.0162945264840313,0.0037156360434170642,0.02889449928145237,404,0.0096,0.288,False,0.009829886359621117,0.006464640124410184
reproduction,dataflow_sim,gemma-2-2b,5,P5a,0.01561913043829629,0.005063035178812901,0.027044379759613373,404,0.0058,0.288,False,0.009829886359621117,0.005789244078675173
reproduction,dataflow_sim,gemma-2-2b,5,P1a,0.009829886359621117,-0.0006231270902255609,0.021547025539483698,404,0.0781,0.5385000000000001,False,0.009829886359621117,0.0
reproduction,dataflow_sim,gemma-2-9b,0,P4b,0.016712855483816364,0.0006438712025215784,0.0332258249711884,404,0.0444,0.444,False,0.007044184758360804,0.009668670725455561
reproduction,dataflow_sim,gemma-2-9b,0,P5a,0.008358969099341376,-0.004436629538807727,0.02134163309565935,404,0.2005,0.6683333333333334,False,0.007044184758360804,0.0013147843409805722
reproduction,dataflow_sim,gemma-2-9b,0,P1a,0.007044184758360804,-0.008093955694503229,0.021728797699597624,404,0.3446,0.7657777777777779,False,0.007044184758360804,0.0
reproduction,dataflow_sim,gemma-2-9b,0,P1b,0.0007609267614438465,-0.01427523109276004,0.015972648960315437,404,0.9247,0.9403728813559322,False,0.007044184758360804,-0.006283257996916957
reproduction,dataflow_sim,gemma-2-9b,1,P4b,0.00980304523572151,-0.003394969679843893,0.023753511677553032,404,0.1596,0.6683333333333334,False,0.006180194277780582,0.0036228509579409275
reproduction,dataflow_sim,gemma-2-9b,1,P1a,0.006180194277780582,-0.007630669965897027,0.01980073652836226,404,0.3596,0.7705714285714285,False,0.006180194277780582,0.0
reproduction,dataflow_sim,gemma-2-9b,1,P5a,0.0038488581571243475,-0.008841943998242011,0.017044125844552664,404,0.5556,0.9067500000000001,False,0.006180194277780582,-0.002331336120656235
reproduction,dataflow_sim,gemma-2-9b,1,P1b,0.0005901871653367079,-0.010421911789963637,0.01232041899034306,404,0.9194,0.9403728813559322,False,0.006180194277780582,-0.005590007112443875
